OID_,CID,random,DR_SLOPE,DR_ROAD,DR_DRA,DR_DEM,DR_ASPECT,PGA0_1,PGV0_1,DIS_FAULT0_1,PP0_1,POINT_X,POINT_Y,DR_GEO,PGV01,PGA01,DIS_FAULT01,PP01,DR_FAULT,DR_PGA,DR_PGV,DR_PP,DIS_FAULT,PGA,PGV,PP,P_PP,P_PP_V,P_PP_A,P_PGV,P_PGA,P_FAU,P_FAU_A
46,1,0.014221132,5.0127993,1.9570681,1.289903,2.6639924,1.2945342,-0.349295815,0.3572046,-0.380852816,0.594992518,-118.6714657,34.37226618,1.5959048,0.55,0.479999971,0.305621026,0.757107495,1.3560724,0.7828309,1.1547459,1.6518499,7.3283,0.6,68,0.582619,0.9978042,0.9996231,0.9946484,0.9991682,0.9970967,0.9833573,0.9466976
47,1,0.0145818,1.3505726,1.335148,1.289903,2.6639924,0.6437082,0.63084009,1.5846297,-1.384777298,1.25455365,-118.6026792,34.37376441,1.5959048,0.825,0.719999971,0.060294087,0.941392248,1.2932247,1.0628572,1.2530659,1.3733321,1.4472,0.72,90,0.660436,0.9536908,0.941365,0.9612088,0.9643945,0.9334542,0.8209796,0.4962502
48,1,0.014633179,5.0127993,1.9570681,1.0484922,1.7059875,1.0189182,0.794196074,1.3614615,-0.992790801,0.917191483,-118.6151482,34.35568681,1.5959048,0.775,0.759999971,0.156083013,0.847131534,1.2932247,1.0628572,1.2530659,1.3733321,3.7435,0.74,86,0.620633,0.9648382,0.9555109,0.9719414,0.9779468,0.9536024,0.8593618,0.5909756
49,1,0.014642179,2.8545845,1.9570681,0.8860558,0.6614413,0.8505477,-1.32943172,-1.0933888,-0.598636369,0.716357462,-118.3988076,34.35533124,1.3795432,0.225,0.239999971,0.252401712,0.791017481,1.3560724,1.2643212,0.707796,1.6518499,6.0525,0.48,42,0.596938,0.8130573,0.8020252,0.5683199,0.6867571,0.6092118,0.3716839,0.1326187
50,1,0.014950931,1.3505726,0.3625256,0.9781319,2.6639924,0.6707735,1.610975994,1.5846297,-1.426360676,1.165845953,-118.5394351,34.34676853,1.5959048,0.825,0.959999971,0.050132444,0.916606864,1.2932247,0.9155879,1.2530659,1.3733321,1.2036,0.84,90,0.64997,0.7858351,0.6961436,0.9527994,0.8048676,0.8641272,0.4692884,0.3626226
51,1,0.015012324,1.3505726,1.335148,1.289903,1.7059875,1.4390537,-0.839363767,-0.6470523,-0.994600258,0.935575488,-118.4050716,34.33326815,1.3795432,0.325,0.359999971,0.155640839,0.852268119,1.2932247,1.0941976,0.707796,1.3733321,3.7329,0.54,50,0.622802,0.6422173,0.5299643,0.7241215,0.5557668,0.8740222,0.291936,0.0956952
52,1,0.01515758,1.3505726,1.9570681,1.289903,2.6639924,0.5656102,-0.185939831,1.0267092,-0.787434464,0.889729899,-118.6478132,34.37922906,1.5959048,0.7,0.519999971,0.206265514,0.839458627,1.2932247,0.7828309,1.2530659,1.3733321,4.9465,0.62,80,0.617393,0.5986876,0.5134969,0.6101636,0.6369152,0.6269137,0.256355,0.0426558
53,1,0.015187383,5.0127993,0.6660407,1.289903,2.6639924,0.6582797,0.467484105,1.1382933,-0.820158329,0.842536659,-118.6400107,34.36248893,1.5959048,0.725,0.679999971,0.198268851,0.826272594,1.2932247,0.7828309,1.2530659,1.3733321,4.7548,0.7,82,0.611825,0.9406992,0.9085452,0.9426758,0.9533807,0.9453704,0.7396209,0.2992232
54,1,0.015281141,5.0127993,1.335148,0.5590755,2.6639924,1.2945342,1.120908042,1.3614615,-1.269296366,1.091140274,-118.5795395,34.3551047,1.5959048,0.775,0.839999971,0.088513923,0.895733715,1.2932247,1.0628572,1.2530659,1.3733321,2.1237,0.78,86,0.641156,0.995756,0.9948419,0.9964982,0.9969361,0.9952033,0.9802566,0.9264913
55,1,0.015328944,2.8545845,1.335148,1.0484922,0.837518,1.4390537,0.140772137,1.6962138,-1.434571515,1.348897751,-118.6114333,34.38981594,1.5959048,0.85,0.599999971,0.048125978,0.967752473,1.2932247,0.7828309,0.7968163,1.3733321,1.1555,0.66,92,0.671567,0.9222272,0.9320112,0.9017658,0.9329555,0.9207076,0.7123858,0.2536952
56,1,0.015604854,5.0127993,0.6591374,1.289903,0.837518,1.298568,-1.166075736,-0.3123,-0.239168893,0.734148161,-118.666353,34.43588329,1.5959048,0.4,0.279999971,0.340244032,0.795988293,1.3560724,1.2643212,1.1547459,1.6518499,8.1583,0.5,56,0.599037,0.9633852,0.9942111,0.8706817,0.988422,0.9388312,0.7843165,0.4690395
57,1,0.015682399,5.0127993,0.6591374,0.9781319,2.6639924,1.0189182,0.63084009,0.5803728,-1.029457917,0.962375959,-118.4769954,34.36745455,1.3795432,0.6,0.719999971,0.147122746,0.859756307,1.2932247,1.0628572,1.2530659,1.3733321,3.5287,0.72,72,0.625964,0.9383125,0.9475987,0.921362,0.9678915,0.9385435,0.7457363,0.3423138
58,1,0.015703917,2.8545845,1.9570681,0.9781319,2.6639924,0.6437082,1.284264026,0.4687887,-0.255163813,0.17869525,-118.6293628,34.3149817,0.6808639,0.575,0.879999971,0.336335386,0.640791909,1.3560724,0.9155879,1.1547459,1.6518499,8.0646,0.8,70,0.533503,0.9757076,0.9935679,0.9943193,0.9794272,0.9306682,0.743645,0.8927362
